Name,Cases,Location
Fort Dodge Correctional Facility,654,"Fort Dodge, Iowa"
Arizona State Prison – Kingman,653,"Golden Valley, Ariz."
Pitchess Detention Center,653,"Castaic, Calif."
Arizona State Prison Complex – Phoenix,651,"Phoenix, Ariz."
Thomson federal prison,650,"Thomson, Ill."
Jacksonville Correctional Center,643,"Jacksonville, Ill."
New Lisbon Correctional Institution,643,"New Lisbon, Wis."
Vandalia Correctional Center,642,"Vandalia, Ill."
Yazoo City federal prison complex,639,"Yazoo City, Miss."
Iowa Medical and Classification Center prison,635,"Coralville, Iowa"
Little Sandy Correctional Complex,635,"Elliott County, Ky."
Mecklenburg County jail,634,"Charlotte, N.C."
Middle River Regional Jail,634,"Staunton, Va."
State Correctional Institution at Mahanoy,632,"Mahanoy, Pa."
Topeka Correctional Facility,630,"Topeka, Kan."
Halawa Correctional Facility,627,"Aiea, Hawaii"
La Tuna federal prison,627,"Anthony, Texas"
Elmira Correctional Facility,626,"Elmira, N.Y."
Howard R. Young Correctional Institution,622,"Wilmington, Del."
Wynne Unit prison,622,"Huntsville, Texas"
Green Bay Correctional Institution,622,"Allouez, Wis."
Kentucky State Reformatory prison,620,"LaGrange, Ky."
Montgomery County jail,618,"Eagleville, Pa."
South Dakota State Penitentiary,615,"Sioux Falls, S.D."
Huntsville Unit prison,614,"Huntsville, Texas"
"California State Prison, Sacramento",613,"Represa, Calif."
Buena Vista Correctional Facility,612,"Buena Vista, Colo."
Sheridan Correctional Center,609,"Sheridan, Ill."
Massachusetts Correctional Institution-Shirley,608,"Shirley, Mass."
Thumb Correctional Facility,605,"Lapeer, Mich."
Monroe County Jail,605,"Rochester, N.Y."
James Crabtree Correctional Center,604,"Helena, Okla."
State Correctional Institution at Camp Hill,604,"Camp Hill, Pa."
Rufe Jordan Unit prison,598,"Pampa, Texas"
State Correctional Institution at Muncy,595,"Muncy, Pa."
Daniel Webster Wallace Unit prison,593,"Colorado City, Texas"
Doña Ana County Adult Detention Center,591,"Las Cruces, N.M."
Beauford H. Jester III Unit prison,585,"Richmond, Texas"
Florida Women's Reception Center prison,584,"Ocala, Fla."
Northern State Prison,583,"Newark, N.J."
Dillwyn Correctional Center,583,"Dillwyn, Va."
Coyote Ridge Corrections Center,579,"Connell, Wash."
Macomb Correctional Facility,575,"Lenox Township, Mich."
Phoenix federal prison,574,"Phoenix, Ariz."
Nottoway Correctional Center,571,"Burkeville, Va."
Everglades Correctional Institution,570,"Miami, Fla."
Massachusetts Correctional Institution- Norfolk,569,"Norfolk, Mass."
Tabor Correctional Institution,566,"Tabor City, N.C."
North Carolina Correctional Institution for Women Medical Facility,565,"Raleigh, N.C."
Wallace Pack Unit prison,565,"Navasota, Texas"
Oahu Community Correctional Center,565,"Oahu, Hawaii"
Jefferson County jail,565,"Beaumont, Texas"
Oklahoma City federal prison,565,"Oklahoma City, Okla."
Adult Diagnostic and Treatment Center prison,563,"Avenel, N.J."
Montford Unit prison,561,"Lubbock, Texas"
Miami federal prison complex,561,"Miami, Fla."
South Bay Correctional Facility,560,"South Bay, Fla."
John E. Goode Pre-Trial Detention Facility,560,"Jacksonville, Fla."
Madison Correctional Institution,558,"London, Ohio"
Taycheedah Correctional Institution,558,"Fond du Lac, Wis."
Taylorville Correctional Center,557,"Taylorville, Ill."
Stanley Correctional Institution,556,"Stanley, Wis."
Baltimore Central Booking and Intake Center,556,"Baltimore, Md."
Bastrop federal prison,556,"Bastrop, Texas"
Craven Correctional Institution,555,"Vanceboro, N.C."
Terrell Unit prison,555,"Rosharon, Texas"
Reception and Medical Center prison,550,"Lake Butler, Fla."
Northeast Correctional Complex,550,"Mountain City, Tenn."
Hazelton federal prison complex,549,"Bruceton Mills, W.Va."
Warm Springs Correctional Center,548,"Carson City, Nev."
Louisville jail,547,"Louisville, Ky."
North Branch Correctional Institution,546,"Cumberland, Md."
Osborn Correctional Institution,545,"Somers, Conn."
Women's Huron Valley Correctional Facility,542,"Ypsilanti, Mich."
Reception Diagnostic Center prison,541,"Plainfield, Ind."
Carrizales-Rucker Cameron County Detention Center,541,"Olmito, Texas"
Tyger River Correctional Facility,540,"Enoree, S.C."
Wakulla Correctional Institution,539,"Crawfordville, Fla."
Nash Correctional Institution,539,"Nashville, N.C."
State Correctional Institution at Coal Township,539,"Coal Township, Pa."
Anthony P. Travisono Intake Service Center prison,536,"Cranston, R.I."
State Farm Correctional Complex,536,"State Farm, Va."
Pueblo County Jail,536,"Pueblo, Colo."
Eastern Oregon Correctional Institution,535,"Pendleton, Ore."
Franklin Medical Center prison hospital,534,"Columbus, Ohio"
Wyoming State Penitentiary,534,"Rawlins, Wyo."
Menard Correctional Center,532,"Chester, Ill."
Jesup federal prison,531,"Jesup, Ga."
John H. Lilley Correctional Center,530,"Boley, Okla."
Nueces County Jail/McKinzie Jail Annex,530,"Corpus Christi, Texas"
Big Spring federal prison,530,"Big Spring, Texas"
Cibola County Correctional Center,528,"Milan, N.M."
South Idaho Correctional Institution,527,"Kuna, Idaho"
Christina Melton Crain Unit prison,523,"Gatesville, Texas"
Tallahassee federal prison,522,"Tallahassee, Fla."
Winfield Correctional Facility,517,"Winfield, Kan."
Broad River Correctional Institute,516,"Columbia, S.C."
Anchorage Correctional Complex,514,"Anchorage, Alaska"
State Correctional Institution at Phoenix,512,"Collegeville, Pa."
"Western Reception, Diagnostic and Correctional Center prison",511,"Saint Joseph, Mo."
Central Reception and Assignment Facility prison,511,"Trenton, N.J."
Oregon State Penitentiary,509,"Salem, Ore."
Neuse Correctional Institution,508,"Goldsboro, N.C."
Nashville men's jail,505,"Nashville, Tenn."
Haynesville Correctional Center,496,"Haynesville, Va."
Stateville Correctional Center,495,"Crest Hill, Ill."
Jefferson City Correctional Center,495,"Jefferson City, Mo."
John Middleton Transfer Facility prison,495,"Abilene, Texas"
Stewart ICE facility,495,"Lumpkin, Ga."
McKean federal prison,495,"Lewis Run, Pa."
Stateville Northern Reception and Classification Center,493,"Joliet, Ill."
Jessup Correctional Institution,492,"Jessup, Md."
North Central Unit prison,491,"Calico Rock, Ark."
Prairie du Chien Correctional Institution,489,"Prairie du Chien, Wis."
Delta Regional Unit prison,488,"Dermott, Ark."
Northwest Florida Reception Center prison,486,"Chipley, Fla."
Waseca federal prison,485,"Waseca, Minn."
Larry Gist State Jail,484,"Beaumont, Texas"
Oakhill Correctional Institution,484,"Oregon, Wis."
Nassau County jail,483,"East Meadow, N.Y."
East Moline Correctional Center,481,"East Moline, Ill."
State Correctional Institution at Albion,481,"Albion, Pa."
Brooklyn Metropolitan Detention Center federal prison,479,"Brooklyn, N.Y."
Ohio Reformatory for Women,478,"Marysville, Ohio"
Big Muddy River Correctional Center,476,"Ina, Ill."
Wabash Valley Correctional Facility,475,"Carlisle, Ind."
New Jersey State Prison,475,"Trenton, N.J."
Robinson Correctional Center,474,"Robinson, Ill."
Dick Conner Correctional Center,474,"Hominy, Okla."
Saint Brides Correctional Center,474,"Chesapeake, Va."
