"state","county","pop_tier","region","date_checked","source_reports","dashboard","testing","cases","population","deaths","releases","news_reports","releases_policy","breakdown","breakdown_parole_violations","breakdown_minor_offenses","breakdown_bail","breakdown_time_left","breakdown_vulnerable","breakdown_other","legal_filing","capacity","wave_1_pop_reduction","wave_1_pop_prior"
"Texas","Tarrant County","1","3",2020-08-16,"Y","N","N","Y","Y","N","N","N",,,,,,,,,,5000,,4102
"Texas","Travis County","1","3",2020-08-16,"N","N","N","N","N","N","N","Y","Mix","Y","N","N","N","N","N","Y","N",3167,362,2233
"Texas","Bell County","2","3",2020-08-17,"N","N","N","N","N","N","N","Y","Mix","N","N","N","N","N","N","N","N",706,42,852
"Texas","Collin County","1","3",2020-11-15,"N","N","N","N","N","N","N","Y","Mix","N","N","N","N","N","N","N","N",1298,77,1067
"Texas","Denton County","1","3",2020-10-01,"Y","N","Y","Y","N","Y","N","Y","Mix","N","N","N","N","N","N","N","N",1788,214,1229
"Texas","El Paso County","1","3",2020-10-01,"N","N","N","N","N","N","N","N",,,,,,,,,,2976,,2181
"Texas","Fort Bend County","1","3",2020-10-01,"N","N","N","N","N","N","N","Y","Mix","N","N","N","N","N","N","N","N",1770,62,808
"Texas","Gregg County","2","3",2020-10-01,"N","N","N","N","N","N","N","Y","Mix","N","N","N","N","N","N","N","N",916,39,714
"Texas","Hardin County","3","3",2020-10-01,"N","N","N","N","N","N","N","Y","Policy","Y","N","Y","N","Y","N","N","N",196,18,142
"Texas","Harrison County","3","3",2020-10-01,"N","N","N","N","N","N","N","N",,,,,,,,,,364,,199
"Texas","Hidalgo County","1","3",2020-10-01,"N","N","N","N","N","N","N","Y","Policy","Y","N","Y","N","N","N","N","N",1232,258,1047
"Texas","Jefferson County","2","3",2020-10-01,"Y","N","N","N","Y","N","N","Y","Mix","Y","N","Y","Y","N","N","N","N",1716,322,1117
"Texas","Knox County","3","3",2020-09-11,"N","N","N","N","N","N","N","N",,,,,,,,,,14,,8
"Texas","Nueces County","2","3",2020-10-01,"N","N","N","N","N","N","N","Y","Mix","N","N","N","N","N","N","N","N",1068,31,933
"Texas","Pecos County","3","3",2020-09-11,"N","N","N","N","N","N","N","Y","Mix","N","N","N","N","N","N","N","N",49,6,26
"Texas","Shackelford County","3","3",2020-08-21,"N","N","N","N","N","N","N","N",,,,,,,,,,27,,6
"Texas","Wichita County","2","3",2020-08-21,"N","N","N","N","N","N","N","Y","Mix","N","N","N","N","N","N","N","N",624,40,460
"Arizona","Apache County","3","4",2020-10-03,"N","N","N","N","N","N","N","N",,,,,,,,,,150,,
"Arizona","Cochise County","2","4",2020-10-03,"N","N","N","N","N","N","N","N","Releases",,,,,,,,,160,100,
"Arizona","Coconino County","2","4",2020-10-03,"Y","N","Y","Y","Y","N","N","Y",,"N","N","N","N","N","N","N","N",477,,
"Arizona","Gila County","3","4",2020-10-08,"N","N","N","N","N","N","N","Y",,"N","N","N","N","N","N","N","N",,,
"Arizona","Graham County","3","4",2020-10-11,"N","N","N","N","N","N","N","Y",,"N","N","N","N","N","N","N","N",,,
"Arizona","Greenlee County","3","4",2020-10-11,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Arizona","La Paz County","3","4",2020-10-11,"N","N","N","N","N","N","N","N","Releases",,,,,,,,,90,,
"Arizona","Maricopa County","1","4",2020-10-11,"Y","Y","Y","Y","N","Y","Y","N",,,,,,,,,,,,
"Arizona","Mohave County","2","4",2020-12-04,"N","N","N","N","N","N","N","Y","Mix","Y","N","Y","N","N","N","Y","N",1100,,
"Arizona","Navajo County","2","4",2020-12-04,"N","N","N","N","N","N","N","Y","Releases","N","N","N","N","N","N","N","N",350,28,1740
"Arizona","Pima County","1","4",2020-12-04,"N","N","N","N","N","N","N","Y",,"N","N","N","N","N","N","N","N",,,
"Arizona","Pinal County","2","4",2020-12-04,"N","N","N","N","N","N","N","N",,,,,,,,,,1503,,
"Arizona","Santa Cruz County","3","4",2020-12-04,"N","N","N","N","N","N","N","Y",,"N","N","N","N","N","N","N","N",372,,
"Arizona","Yavapai County","2","4",2020-12-04,"N","N","N","N","N","N","N","N",,,,,,,,,,477,,
"Arizona","Yuma County","2","4",2020-12-04,"N","N","N","N","N","N","N","N",,,,,,,,,,756,,
"New Hampshire","Belknap County","3","1",2020-08-22,"N","N","N","N","N","N","N","Y","Releases","Y","N","N","N","N","Y","Y","N",72,3,
"New Hampshire","Carroll County","3","1",2020-08-22,"N","N","N","N","N","N","N","N",,,,,,,,,,110,,
"New Hampshire","Cheshire County","3","1",2020-08-23,"N","N","N","N","Y","N","N","Y","Releases","Y","N","N","N","Y","Y","Y","N",173,2,
"New Hampshire","Coos County","3","1",2020-08-23,"N","N","N","N","N","N","N","N",,,,,,,,,,61,,
"New Hampshire","Grafton County","3","1",2020-08-23,"N","N","N","N","N","N","N","N",,,,,,,,,,150,,
"New Hampshire","Hillsborough County","2","1",2020-08-23,"Y","N","N","Y","Y","N","Y","N",,,,,,,,,,,,
"New Hampshire","Merrimack County","2","1",2020-08-23,"N","N","N","N","N","N","N","Y","Releases","N","N","N","N","N","Y","N","N",,12,
"New Hampshire","Rockingham County","2","1",2020-08-23,"N","N","N","N","N","N","N","Y","Releases","Y","N","N","N","Y","N","N","N",124,12,
"New Hampshire","Strafford County","2","1",2020-08-23,"N","N","N","N","N","N","N","N",,,,,,,,,,495,,
"New Hampshire","Sullivan County","3","1",2020-08-23,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"North Dakota","Adams County","3","2",2020-07-20,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"North Dakota","Benson County","3","2",2020-07-20,"Y","N","N","N","Y","N","N","N",,,,,,,,,,,,
"North Dakota","Burleigh County","3","2",2020-07-20,"Y","N","N","N","Y","N","N","N",,,,,,,,,,555,,
"North Dakota","Cass County","2","2",2020-07-21,"Y","N","Y","Y","Y","Y","N","Y","Releases","N","N","N","Y","N","N","N","N",,89,276
"North Dakota","Divide County","3","2",2020-07-20,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"North Dakota","Grand Forks County","3","2",2020-09-14,"N","N","N","N","N","N","N","Y","Releases","Y","N","N","Y","N","N","N","N",,17,201
"North Dakota","Grant County","3","2",2020-09-14,"N","N","N","N","N","N","N","N",,,,,,,,,,154,,
"North Dakota","Logan County","3","2",2020-09-14,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"North Dakota","McKenzie County","3","2",2020-09-14,"N","N","N","N","N","N","N","N",,,,,,,,,,135,,
"North Dakota","McLean County","3","2",2020-09-14,"N","N","N","N","N","N","N","N",,,,,,,,,,29,,
"North Dakota","Mercer County","3","2",2020-09-14,"N","N","N","N","N","N","N","N",,,,,,,,,,52,,
"North Dakota","Richland County","3","2",2020-09-14,"N","N","N","N","N","N","N","Y","Mix","Y","N","Y","N","N","N","N","N",,47,223
"North Dakota","Steele County","3","2",2020-09-14,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"North Dakota","Stutsman County","3","2",2020-09-14,"Y","N","N","N","Y","N","N","Y",,"Y","N","N","Y","N","N","N","N",92,35,70
